id,text_,rating
0,Good product and fast shipping,5
1,Excellent portable monitor that can be powered Usbc to usbc directly from the laptop.  The good crisp picture that you can fully adjust and the speakers are a nice touch too.<br /><br />Great price for the sie and screen.,5
2,"This is an excellent monitor which can serve multiple purposes.  I have briefly tried it for gaming and general computer use and found it to be excellent there.  However I primarily use it as a security camera monitor where it is showing live video transmission from multiple cameras.  The detail is outstanding and the color saturation is excellent.  There are a number of settings available to adjust brightness and other settings but I have found the standard settings, for the most part, to be excellent without being adjusted.",5
3,"Very nice quality. I love using the 21:9 aspect ratio for games that support it. However, I would advise getting a bigger size as the vertical screen size can occasionally be stifling when trying to use other applications.",4
4,"Full disclosure: I'm not an avid gamer nor videophile. I needed a larger, good quality monitor to replace an aging 19&#34; screen for basic telecommuting purposes. I work from home often and this is a decent quality monitor that performs well for my needs. The brightness and clarity are both a big step up from my last monitor. I received the item in perfect condition and there were no dead pixels nor annoying &#34;light bleed&#34;. I'm using two of these on a dual-monitor arm and the VESA mounting made attaching them a simple process. After using this monitor for 8-10 hours a day for the past few weeks, I have zero complaints. It is my personal opinion that this is an excellent monitor for the price.",5
5,"I have never been more broken hearted. It arrived broken, and now it's out of stock. The screen won't show an image. Just the backlight turns on. I've tried everything. Different cables, different ports, different computers. Nothing works. I'm reaching out to LG support. Amazon support said the only thing they would do is a refund because they're out of stock.",1
6,"Bottom left corner of screen suddenly went dark, indicating LED failures.",2
7,"EXTERNAL QUALITY:<br /><br />I chose this one over the competing Samsung XL-2370 model even though they were similarly priced (approximately $280) because I like (1) the Acer's shape - which is a sleek, plain rectangular shape, (2) the sturdy aluminum stand, and (3) because the screen was an inch bigger (24"") than the Samsung model (23""). Also, I didn't like Samsung's casing - an acryllic plastic which looks rather ""cheapy"" (although it does look a bit fancy).<br /><br />With regard to the speaker, I haven't used it yet because I rely on my external speakers, but I will say it looks to be cheaply made - I can gently push my finger on the speaker face and it will sink in some because the face of the speaker is covered by a thin weak sheet of metal/plastic (can't tell). Had the speaker been of better build-quality I would have given the Acer a better rating.<br /><br />One other highlight: I like how the screen doesn't get warm even with extended use. Good ol' LED technology!<br /><br />INTERNAL QUALITY:<br /><br />The quality of the screen is good, but a caveat is that I'm not too picky about picture quality because I use it for basic computing and the occasional movie. It has worked perfectly fine for performing those basic tasks.<br /><br />CONCLUSION:<br /><br />If I could go back in time I would buy it again.",4
8,Certainly meets expectation for daily work use. Have had no problems and have been enjoying the extra screen real estate.,5
9,Simply brilliant 👏,5
10,"Excellent. Next best thing to the old 2560x1600 30&#34; monitors they don't make anymore. Only this is much lighter, much cheaper, and has a LED backlight so it will probably last longer.<br /><br />I do miss the 2560x1600 mode, but in today's market (2018) this is about the best I've found. Will buy more of these.",5
11,I wish I had something positive to say about this travel screen but I am beyond frustrated with it. Save your money and look elsewhere unless you want to be burdened with the screen constantly cutting in and out through the day. 0/10 do not recommend.,1
12,Beside the picture quality the Stand is one of the best and ergonomic one that I saw.,5
13,"This product is a great value for a display at this resolution.<br /><br />Unless you've got hawk-eye vision, even at 27&#34; wide and sitting on a desk 30-36&#34; away from my face, the maximum resolution is really too fine to be able to read text well, so I ended up dialing it back a notch and it works great at that setting.<br /><br />My suggestion would be that, if  you want to go super-high resolution, I think you probably need a 30&#34;+ monitor to get real value out of it..",5
14,"Overall I am very pleased with this monitor and would definitely recommend it to anyone on a budget. You'd be hard pressed to beat it for the price.  However, it is not perfect...<br /><br />PROS<br /><br />- Screen is very bright (I had to turn it down), and very clear at native resolution<br /><br />- Mine has no dead pixels<br /><br />- ""Ghosting"" effect while paying fast-paced games is very minimal<br /><br />- Comes with a DVI cable (many don't)<br /><br />- GridVista software included is a handy tool that allows you to arrange open windows in a grid on your screen so you don't have to constantly switch between them.<br /><br />CONS<br /><br />- I can notice a *slight* change in brightness from the top of the screen to the bottom, even when looking straight at the screen. When I tilt the screen up or down, this difference becomes more apparent. But it isn't so bad as to be distracting as long as you have the monitor facing you perfectly.<br /><br />- The screen is only 6-bit, which is below the ideal 8-bit. What this means is the monitor can only display a limited number of colors. Most users may not notice the minor dithering this causes, but to those who are into professional photo or video editing, you should probably cough up more cash for a monitor with an 8-bit screen.<br /><br />- The stand is difficult to adjust and doesn't allow for much customization.<br /><br />- The connectors are located in an inconvenient spot behind the stand.<br /><br />For me, the pros far outweigh the cons. If you aren't looking to spend a boatload but want a large, impressive widescreen then this is the monitor you want!",4
15,I am very pleased with the size of the monitor.,5
16,Got my first gaming pc and needed a monitor since I've mostly had laptops before. This screen is nice and large. The curved framing is great too.,5
17,Love the big screen:),5
18,"Didn't even turn it on.  This thing is heavy and thick, seems off balance and ready to fall with one wrong nudge against the desk.",2
19,great picture,5
20,I was having headaches and eye strain from too much time in front of the computer.  Research led me to this monitor.  Only used it a few days but I notice a difference with the blue filter etc.  Look and clarity is fantastic. I will be ordering another.,5
21,I needed a bigger screen.  I am Very Happy with the monitor.  I would go smaller.  I am very much appreciated the bigger screen and very easy to put together.,5
22,"The monitor itself is great- nice build and image/picture quality. As others have noted- there are two things that will be seen as a negative, if you are expecting something better:<br /><br />First, the stand is flimsy plastic, and the monitor sits very low compared to others. I had written earlier that it didn't tilt, but have found out since that it does- it is just really hard to get it right where you want it, especially if you use two of these side-by-side, because the stand is so flexible. The monitor will jiggle with very little movement of the desk/table it is on- it might as well be a spring. The stand just snaps on with plastic clips- no screws. That said- these monitors are perfect if you want to mount them using an after-market articulated desk, multi-monitor, wall, or other mount. You will probably be disappointed if you use it with the included stand.<br /><br />Second, the speakers are really only suitable for notification sounds/beeps. I have yet to actually buy a monitor that has speakers that are even remotely good, so in that respect- this doesn't surprise me. If you are trying to get rid of desktop speakers- this monitor is not going to help you.<br /><br />Also- take note that this only ships with a VGA cable. I suspect most people have either graduated to DVI or already have a drawer or box full of old VGA cables. I'd almost rather see them drop the cable entirely and put some money into the stand, otherwise- ship it with a DVI cable if not both.<br /><br />Buy this as a quality 24"" monitor that is perfect for a multi-monitor desk mount. Don't count on good speakers in ANY monitor, and if you do want a better stand- pay $10-$20 more for a higher-up model from ViewSonic. they really do make good monitors, so the price difference is usually on the extras.",4
23,Sent as a gift - My mom absolutely loves it. Great picture and great value!,5
24,Bought this as a gift and they are extremely happy with it.  Great product.,5
25,Fully functional,2
26,This monitorare good but the buil in speakers bad loud noice com from the<br />speakers.<br /><br />not recommend,2
27,Good buying for cost relation of the product. I'm glad to buy it.,4
28,Stopped working within a few months. Been requesting a refund/ return and have heard from company.,1
29,"I use these two monitors to multitask as my desktops.  They are amazingly clear, and provide great color and contrast.<br /><br />Easy menu functions accessible for immediate adjustments.  Great overall quality.",5
30,"I have enjoyed using the 15.6 inch screen with my laptop to extend display.  Really helps my workflow.  One day the screen went out of sync and started ghosting.  I sent a note to support and was promptly responded to with things to test and try.  Once ruled out cables and computer, support quickly agreed to send me a new panel with no hassle.  Great service and communications throughout the whole process.<br /><br />Thanks Again.",5
31,"I like this monitor and it's price-point! It has a very bright screen with good resolution. The only con is the fixed tilt and no HDMI out. You can adjust the angle in the base by taking the monitor off the mount and turning a screw on the hinge. Kind of a pain if you need to adjust the angle on the fly though. However, out of the box its not too bad. I recommend this monitor for those looking for a large monitor with a bright image and decently calibrated color. It actually has great resolution at a  fair price.",4
32,I finally have a moniter! Thank the Gods! It works awesome and the price is totes affordable!,5
33,everythings were great,5
34,"Despite saying this worked with one cord to USB -C ports on the ad, upon arrival I found that is not the case for all computers. Having to attach an additional cable and then have two cables awkwardly draped, one on either side of my laptop, makes me feel like I should have just bought a comparable detached monitor for one third of the price, rather than getting this one.",3
35,Great photo quality. Fit perfect in my backpack. I work remote so this is great for me,5
36,"Worth EVERY PENNY, especially if u game! Hands down the best!",5
37,"This monitor does not have speakers!  other than that, the Monitor is perfect!",5
38,"Seems like a nice monitor, but it came in a plain, brown box, and only an HDMI cable with a DP adapter was included. Now I have to spend more on a DP cable. Let the buyer beware!",3
39,"I has a lot of monitoring in past 30 years,  for the price this one works the best<br />Reason: high resolution  2560x1080<br />For MAC user, there is catch:<br />  In order to achieve high resolution  , you must have MD DP cable ,<br />  I bought from Amazon :  AmazonBasics Mini DisplayPort to DisplayPort Display Cable 6 feet , $11",5
40,"This has been the worst monitor I have purchased ever! It doesn't work properly, my laptop doesn't recognized, and it is completely useless. Think twice before purchasing this.",1
41,It’s really not curved but I kept at four my home computer and it works amazing,5
42,"The monitor using the HDMI for a speaker out thing as a optional thing, which is not having speakers.",5
43,large screen very clear.  Controls are hard to use on bottom of screen also speakers don't sound good.  But I like the monitor a lot.,4
44,"TL;DR meh...<br /><br />I think for the money I would have been better off getting multiple monitors.  It's nice to look at, both from a functional perspective and from a &#34;oh look at that artsy looking monitor on my desk&#34; perspective, but that's about it.<br /><br />I've noticed a few times that the screen will go black randomly.  This happened on some thinkpads as well as on my macbook pro retina 13&#34;, so I think it might be a firmware bug?",3
45,Exceeded expectations on use. It helps reduce eye strain and is very clear.,5
46,"Pros:<br />Nice look and feel. The clear plastic spacer on the bottom keeps the working surface up high enough for comfortable touchscreen use.  Glass of from edge to edge makes Windows 8 edge swipes simple and easy. Variable tilt support arm is just right for upright use, or laying down and using system from above.<br /><br />Cons:<br />I could not get the touchscreen to wake up any computer from sleep.  When the computer goes to sleep, the mouse and keyboard would wake it, but touching the screen does nothing.  Could not find any information from Acer or by searching the internet.  Had to resort to black screensaver and never going to sleep.<br /><br />Also, sometimes the touchscreen would not recognize, but gave a USB Device Descriptor Request failed error.  I tried 3 computers, running both 32 and 64 bit windows.  After a week of emails to Acer tech support, I resolved the issue by unplugged the power and holding down the power button for 10 seconds.  When plugged back in, it was immediately recognized and began working.  It did this twice while it was on the bench in my office. The device is now in production in a classroom, so we will see how it does in the future.<br /><br />Lastly, when using more then one touchpoint, say 3 to 5 fingers when swiping in a game, the touch really lags.  While this may be a product of CPU usage on the computer, it means this touchscreen should not be connected to anything below a i3 processor if you want good touchscreen responsiveness.",3
47,"This monitor was a huge upgrade, 1080p never looked so good before, and it's on a big screen too. The 144hz refresh rate was also a huge difference. Trust me when I say that once you upgrade to 144hz you will never want to go back to 60hz. The only problem that I do have with this is that the stand could be a bit slimmer. I would prefer if my monitor was closer to the wall, but that's my personal taste and would probably affect durability.",4
48,Within a day of use i got this wonderful black bar at the bottom. Not exactly great. Already started the refund.,1
49,"The product works wonderfully! Colors are a step up for me after becoming accustomed to an ancient screen. It's pretty decent for gaming, and is bright enough to view at most angles even under sunlight.",5
50,Great,5
51,Bought it as a gift.  Receiver very pleased.,5
52,Arrived late.  Missing power cord.  Otherwise a nice monitor.,3
53,"The GFI27QXA is a beautiful screen. It definitely feels smoother and more responsive than a standard display and improves my experience with everything on a computer. Have no issues with mine so far. I run mine at 4k120Hz with one displayport cable. I did find the default color settings to be on the warm side and found that setting (R,G,B) to (42, 46, 50) makes for more neutral colors.",5
54,"Usually I don't like to buy refurbished items.  Although the box that it came in looked a little beat up on the outside, it was well-packed on the inside.  The monitor itself is like-new.  Not a scratch or blemish anywhere - screen in perfect.  Very pleased with the monitor and price.",5
55,"[[VIDEOID:8218e42e8c2726302ae8adc63b48e9fe]] I just got this 27inch curved sceptre monitor today and set my refresh rate to 144hz on monitor. I play league of legends and i notice that my character stutters not even at 144hz. I capped my FPS at 120FPS and it was stuttering. I put FPS to 144, stuttering. I uncapped my FPS in game, complete stutter. I don't like it and it bothers me. The lighting is alright, but compared to the 24 inch one, the 24  inch sceptre has much better coloring than this 27 inch.<br /><br />UPDATE: My monitor is now starting to flicker from time to time. I will return it soon!",2
56,The sound is not very loud.,3
57,Bought several for my office.  All work fine.  Good cost.,5
58,This is an excellent monitor - especially being open-box at the price I paid. I wish I could buy more at that pricing.,5
59,Great picture and great value.,5
60,"Big, clear, reasonably priced monitor. First perfectly on my small desk and is super-sharp.",5
61,Fantástico la calidad de las imágenes!,5
62,"The Acer Predator X34 GS is an incredible ultrawide monitor. The brightness reaches 550nits. It has 180hz of room if you don't notice the difference between 10bit and 8 bit (for 10bit you're limited to 144hz) Now there are other more expensive bigger ultrawides out there. There's also that new OLED ultrawide from samsung. But that thing after tax is $1400. Hey if you have that amount to spend on it more power to you. But if you're looking to stay under $1000 for a monitor this one is it! Yes there are cheaper VA alternatives but you will be losing that crispyness that you get with IPS. The IPS panel in the X34 GS is super crisp, bright and vibrant. All in all this is the best ultrawide under $1000 and i'm surprised Hardware Unboxed( great Youtube resource for monitor reviews) hasn't reviewed this one yet (it was only on Linus Tech Tips as a overview-also on Youtube)",5
63,Works great my little brother loves it! Perfect for his gaming set up!,5
64,"Ordered this past thrusday and got it delivered today when scheduled for next Friday, so shipping and packaging  was great. Clear picture, simple set up, and nice size. I got the 24 inch, great size, clear pics. Great monitor! 🤌🏾",5
65,They are a 3rd party vendor.  The monitor would not assemble because the alignment of the skrew holes is not right.  The monitor itself is great.  It works well.  I am not going to return as they are sold out.  I called the vendor and they want to send it back and repair rather than replace.,3
66,Refurbished without a scratch. Needed dual monitors for working from home. Great value since I had to pay out of my own pocket.,5
