id,word_count,first_person_pronoun_count,third_person_pronoun_count,verb_count,adjective_count,superlative_count,readability_ari,extremity
0,54,5,6,10,3,0,4.665555555555557,0
1,30,3,0,7,5,0,3.5150000000000006,1
2,54,5,1,14,4,0,7.300000000000001,1
3,40,2,3,8,2,0,4.17625,1
4,154,11,7,35,7,1,3.611363636363638,1
5,118,5,8,22,14,0,8.520621468926556,0
6,110,3,5,25,12,0,6.939727272727275,0
7,29,0,1,6,4,0,3.1463793103448303,1
8,67,6,5,14,4,0,4.519626865671643,1
9,28,0,1,5,7,0,5.419285714285714,1
10,45,1,1,8,4,1,6.061333333333334,0
11,148,13,3,37,5,1,5.9598648648648656,1
12,61,2,1,14,3,0,3.7287431693989035,1
13,73,8,0,18,3,0,1.880319634703195,1
14,14,1,0,0,2,0,2.255714285714287,1
15,66,2,1,11,10,0,8.157727272727271,1
16,31,0,1,8,2,1,-0.08241935483870932,1
17,40,5,0,6,2,0,0.17275000000000063,1
18,65,6,4,10,4,0,6.156307692307692,1
19,24,0,1,7,0,0,2.036249999999999,1
20,43,5,0,7,5,0,11.117441860465114,1
21,28,0,2,7,3,0,4.578214285714285,1
22,38,1,1,7,5,0,5.2307017543859615,0
23,120,11,9,27,13,0,7.606249999999999,1
24,76,1,5,14,10,1,4.115175438596488,1
25,55,4,2,10,9,0,6.1690000000000005,1
26,59,3,3,12,6,0,4.507457627118647,1
27,17,1,0,3,2,0,7.755294117647058,1
28,18,0,0,2,3,0,7.456666666666667,1
29,47,1,1,10,3,0,8.14950354609929,1
30,221,6,4,34,31,0,7.668513251454428,1
31,25,1,1,2,3,0,3.6490666666666662,1
32,23,0,1,4,1,0,0.08826086956521806,0
33,347,16,12,69,42,3,5.537369571698299,0
34,60,5,0,11,7,0,6.244500000000002,1
35,20,0,0,6,1,0,11.594500000000004,0
36,27,1,0,3,5,0,9.567777777777774,1
37,92,6,4,19,10,0,7.582717391304346,0
38,20,3,2,5,3,0,-5.271000000000001,1
39,32,1,0,6,5,0,5.8515625,1
40,17,1,0,3,3,0,4.801764705882352,0
41,120,4,7,25,11,0,3.8895000000000017,0
42,21,3,1,4,2,0,8.35857142857143,1
43,27,4,1,8,1,0,2.0666666666666664,1
44,50,3,1,7,6,0,6.366399999999999,1
45,43,1,3,6,7,0,7.862713178294573,0
46,237,10,2,41,29,1,6.358270042194089,1
47,24,1,0,5,3,0,1.9987500000000011,1
48,97,4,3,27,6,0,5.944639175257731,1
49,10,0,1,3,0,0,1.939,0
50,84,5,2,17,10,0,11.722857142857144,1
51,15,0,1,1,3,0,4.282,1
52,72,5,4,14,10,0,3.890416666666667,1
53,180,15,10,40,14,0,3.7312435897435883,1
54,28,2,2,7,1,0,4.07357142857143,1
55,95,2,3,16,13,0,7.071293233082706,1
56,82,2,2,13,5,0,5.966504065040649,1
57,76,5,8,16,5,0,1.7850187969924818,1
58,33,3,0,6,5,0,5.764545454545452,1
59,67,3,3,9,4,0,5.234776119402987,1
60,18,0,2,5,2,0,4.788333333333334,1
61,149,2,8,30,12,0,2.761440371708826,0
62,26,1,1,6,4,0,9.141923076923078,1
63,44,4,1,7,7,0,5.920833333333331,1
64,43,3,1,8,2,0,6.947325581395351,1
65,34,3,1,7,2,0,5.078823529411764,1
66,10,1,0,3,1,0,-0.8870000000000005,0
67,47,5,3,12,3,0,7.957446808510639,0
68,109,4,3,19,13,0,9.08599388379205,1
69,156,8,8,35,6,1,5.572307692307692,1
70,113,5,5,19,10,0,6.014712389380531,1
71,120,6,2,28,13,0,7.943928571428572,1
72,154,3,6,33,10,0,6.487510822510824,0
73,45,3,3,9,2,0,4.491333333333333,1
74,13,0,0,1,1,0,3.185384615384617,1
75,49,3,1,9,7,0,6.441768707482993,0
76,15,0,0,3,3,0,12.131999999999998,1
77,93,6,3,22,10,0,5.818387096774192,0
78,21,1,0,5,2,0,2.928571428571427,1
79,29,0,0,6,3,0,4.029885057471262,1
80,23,2,0,5,3,0,1.3089130434782597,1
81,12,0,0,3,3,0,6.942499999999999,1
82,62,5,2,12,6,0,8.199139784946233,1
83,50,1,1,13,6,0,1.765066666666666,1
84,34,2,1,9,3,0,4.386176470588236,0
85,42,0,1,10,1,0,1.5385714285714265,0
86,239,15,5,48,30,1,11.436648070664809,0
87,28,2,1,5,3,0,5.251071428571432,0
88,118,8,3,19,21,1,7.275520581113803,0
89,40,4,2,8,2,0,5.2905000000000015,0
90,9,0,0,2,2,0,10.806666666666665,1
91,27,2,0,4,4,0,4.797222222222221,1
92,42,3,2,9,5,0,6.765000000000001,1
93,86,2,2,16,12,0,9.748255813953488,0
94,12,0,0,0,3,0,8.120000000000001,0
95,43,0,3,8,9,0,7.61232558139535,1
96,15,1,0,2,4,0,8.05,1
97,120,9,5,30,7,0,3.928750000000001,1
98,196,8,6,36,14,0,9.226794990723562,0
99,41,3,1,7,9,0,6.540894308943088,1
100,134,9,4,27,8,0,2.9500746268656712,1
101,25,2,5,6,0,0,2.906399999999998,0
102,221,3,7,43,17,0,10.689451985922581,0
103,56,3,3,12,7,0,2.4212500000000006,1
104,70,1,5,15,3,0,0.7092857142857127,0
105,79,5,10,21,5,0,3.5213924050632883,1
106,19,1,1,3,6,0,5.286666666666669,1
107,149,5,3,35,5,1,11.818143176733777,1
108,13,0,0,3,2,0,5.7323076923076925,0
109,12,1,0,1,2,0,2.3724999999999987,1
110,123,6,6,24,21,0,5.091707317073173,0
111,27,1,0,4,2,0,4.352222222222224,1
112,85,4,4,12,14,0,9.567176470588237,1
113,19,1,1,2,1,0,2.4478947368421053,1
114,51,1,2,13,6,0,7.479117647058825,1
115,13,1,0,2,2,0,11.156153846153849,1
116,18,1,0,5,0,0,5.835000000000001,0
117,20,1,1,2,2,0,4.765000000000001,1
118,81,2,2,12,9,1,7.823333333333334,0
119,55,1,2,13,6,0,5.8264545454545456,0
120,16,1,0,3,1,0,5.998750000000001,1
121,17,0,0,3,1,0,5.078823529411764,1
122,69,3,2,11,6,0,2.748136645962731,0
123,136,5,3,28,16,0,7.052867647058825,1
124,42,5,2,7,3,0,3.96142857142857,1
125,110,10,1,25,12,1,7.475848484848484,1
126,23,1,2,4,2,0,-2.1643478260869564,0
127,52,3,2,9,4,0,2.0665384615384603,1
128,55,2,0,11,6,0,6.768454545454546,1
129,99,4,6,16,12,0,6.09900432900433,1
130,52,2,1,9,9,0,4.181730769230768,1
131,116,6,3,19,7,0,9.375431034482759,0
132,110,3,6,21,9,0,4.24218181818182,1
133,15,0,0,3,2,0,2.4160000000000004,1
134,23,1,0,3,1,0,2.7504347826086963,1
135,106,3,2,19,13,0,7.203126684636118,0
136,63,1,2,14,2,0,4.155238095238094,0
137,113,6,9,25,11,0,8.327197640117994,0
138,20,0,1,4,2,0,4.2940000000000005,1
139,48,1,4,11,7,0,5.666875000000001,0
140,32,0,0,4,5,0,6.7346875,1
141,36,2,3,9,5,0,4.325833333333335,1
142,40,6,1,9,1,0,14.348500000000001,0
143,117,5,2,22,13,0,9.349963369963369,1
144,114,7,4,25,10,0,7.659962406015037,0
145,19,0,0,4,3,0,4.886842105263156,0
146,61,1,3,13,1,0,6.109617486338799,0
147,117,9,4,21,11,0,5.807399267399266,1
148,53,4,6,14,3,0,1.2934591194968554,1
149,22,3,3,8,0,0,0.4343939393939422,1
150,27,1,0,3,3,0,1.4827777777777769,1
151,69,5,1,9,6,0,4.173478260869565,0
152,35,1,2,4,3,1,7.90942857142857,1
153,305,15,14,75,21,1,5.560049180327869,0
154,45,5,3,11,1,0,5.328666666666667,1
155,53,2,2,10,4,1,5.36801886792453,1
156,41,0,3,7,3,0,5.981341463414633,1
157,14,0,1,2,1,0,6.965714285714288,1
158,34,2,0,5,5,0,4.015000000000001,1
159,86,3,3,16,9,0,8.200697674418606,1
160,69,3,0,17,5,0,9.925869565217393,1
161,30,1,4,6,2,0,1.6129999999999995,0
162,43,3,3,8,2,0,1.27186046511628,1
163,92,5,4,18,7,0,2.1872826086956536,1
164,129,8,4,23,13,0,7.062425249169436,1
165,10,1,1,2,0,0,-0.8870000000000005,1
166,136,4,5,26,20,0,6.5932761437908525,0
167,55,3,1,12,7,0,5.564727272727275,1
168,119,4,6,18,13,0,5.876575630252102,1
169,13,0,0,2,3,0,8.619999999999997,1
170,10,1,1,2,1,0,2.7360000000000007,1
171,12,0,0,3,0,0,6.157500000000002,1
172,68,7,4,12,6,0,6.772794117647063,1
173,28,1,0,5,3,0,2.592142857142857,1
174,85,6,4,16,9,0,8.699941176470588,0
175,77,5,1,17,4,0,8.56422077922078,0
176,47,2,2,8,5,0,5.389468085106383,1
177,110,7,7,21,15,1,6.637324675324674,1
178,29,2,1,9,0,0,1.5936781609195378,1
179,299,13,15,56,23,2,6.460250836120402,1
180,18,2,2,3,1,0,1.961666666666666,0
181,31,0,0,5,2,0,3.9440860215053775,1
182,24,1,0,3,2,0,6.708750000000002,0
183,10,0,0,1,2,0,9.004000000000001,1
184,33,0,1,6,5,1,6.620909090909091,1
185,17,1,1,3,0,0,5.078823529411764,1
186,20,1,0,2,2,0,4.2940000000000005,1
187,18,3,1,3,0,0,3.008333333333333,0
188,113,6,4,20,14,0,7.015066371681417,1
189,24,0,1,3,2,0,7.138749999999998,0
190,51,1,1,12,4,0,7.202941176470588,1
191,17,2,0,1,3,0,4.430588235294117,1
192,115,5,3,20,16,0,8.040720496894409,1
193,109,4,3,26,10,0,8.569266055045873,0
194,22,0,2,4,2,0,1.8395454545454548,0
195,50,4,6,11,4,0,5.732399999999998,1
196,88,1,4,17,9,0,6.7236742424242415,0
197,37,2,2,8,6,0,2.9401801801801817,0
198,48,1,2,10,8,0,6.685624999999998,0
199,21,2,1,6,1,0,1.0899999999999999,0
200,36,2,0,8,4,0,6.942499999999999,1
201,27,1,1,5,4,0,4.16,1
202,57,2,0,12,3,0,1.564060150375937,0
203,55,2,2,7,8,0,4.280181818181816,1
204,18,1,0,3,3,0,1.6483333333333334,1
205,16,1,0,2,2,0,7.003125000000001,1
206,29,0,1,4,4,0,5.816436781609195,0
207,25,1,0,3,3,0,7.428000000000001,1
208,101,3,6,22,6,0,2.9763613861386133,0
209,73,4,5,18,2,0,4.39662100456621,0
210,17,0,0,2,1,0,6.741176470588236,1
211,64,4,1,12,6,0,4.435989583333331,0
212,122,8,0,22,15,0,9.275355191256828,1
213,109,5,6,19,8,0,8.048929663608561,1
214,277,18,17,56,30,0,7.166828261990716,1
215,31,2,0,8,2,0,12.60612903225806,1
216,49,2,2,9,7,0,5.67278911564626,0
217,22,1,0,6,0,0,6.2690909090909095,1
218,43,2,1,11,2,0,4.318488372093022,1
219,17,0,0,3,3,0,6.092941176470589,1
220,138,9,2,30,6,0,5.417971014492753,0
221,32,2,1,5,1,0,4.674062500000002,0
222,106,4,8,24,5,0,9.742924528301884,1
223,27,1,1,6,0,0,1.0377777777777766,1
224,34,1,3,7,5,0,3.1838235294117645,1
225,50,3,4,8,3,0,21.562199999999997,0
226,64,6,2,13,6,1,4.085312500000001,1
227,123,6,4,24,13,0,9.84268292682927,1
228,23,2,0,4,2,1,2.7504347826086963,1
229,29,3,0,6,5,0,8.577471264367812,1
230,54,2,3,11,2,0,5.537777777777777,0
231,137,4,3,29,13,0,8.536517205422314,0
232,19,1,3,6,2,0,1.07245614035088,1
233,11,0,0,3,2,0,4.779545454545456,1
234,46,3,2,8,6,0,4.286304347826089,1
235,65,5,2,15,8,0,7.605538461538462,1
236,35,1,1,4,2,0,3.3998571428571402,1
237,284,9,4,43,31,2,11.214654289372596,1
238,26,0,1,4,5,0,4.272307692307692,0
239,44,3,2,9,5,0,2.816515151515148,0
240,38,0,0,7,6,0,5.134736842105266,0
241,51,6,4,12,4,1,3.8782352941176477,0
242,132,7,10,26,12,0,2.910454545454545,0
243,22,0,0,5,2,0,10.765,1
244,43,2,1,5,5,0,6.329224806201552,1
245,58,0,1,7,8,0,4.671724137931037,1
246,82,4,3,15,9,1,6.798414634146344,1
247,88,1,7,18,7,0,8.008219696969697,0
248,23,2,0,4,3,0,3.569565217391304,0
249,100,5,3,18,11,0,9.04033333333333,1
250,140,10,7,27,15,0,2.5031904761904755,1
251,56,2,9,11,1,0,5.587500000000002,1
252,122,6,10,26,17,0,6.935023419203745,1
253,48,1,2,9,6,0,6.685624999999998,0
254,14,1,0,3,1,0,3.064285714285713,0
255,25,2,1,3,1,0,8.1816,1
256,39,2,1,8,6,0,3.0096153846153832,0
257,23,2,1,3,1,0,3.569565217391304,1
258,66,1,3,11,6,0,4.69409090909091,1
259,29,1,1,4,6,0,5.796896551724139,1
260,25,1,1,4,3,0,1.0114666666666672,1
261,111,5,4,19,14,0,6.356949806949807,0
262,20,1,1,2,2,0,1.7035000000000018,1
263,16,0,1,5,3,0,5.964166666666667,1
264,25,1,1,4,1,0,5.5440000000000005,1
265,78,5,4,16,9,0,5.7819230769230785,1
266,114,10,3,30,8,0,6.70342105263158,0
267,164,6,14,36,21,1,6.434952574525745,0
268,29,0,1,9,3,0,4.029885057471262,1
269,14,1,0,3,3,0,5.082857142857144,1
270,18,0,0,4,2,0,1.125,1
271,31,3,0,6,2,0,3.1844086021505404,1
272,26,1,0,4,2,0,8.982307692307693,1
273,131,4,5,28,14,0,8.24126499454744,0
274,56,3,0,16,5,0,6.878928571428574,0
275,125,2,5,22,17,0,8.297931428571431,0
276,122,8,4,25,11,0,7.698852459016393,0
277,48,2,3,10,3,0,3.213750000000001,1
278,100,5,1,16,4,1,3.754200000000001,1
279,91,3,2,18,12,0,5.99596153846154,1
280,130,7,4,28,13,0,5.610452991452991,0
281,44,2,2,6,3,0,4.194545454545455,1
282,25,1,1,5,3,0,1.1998666666666686,1
283,28,0,0,5,4,0,11.578214285714289,1
284,25,0,0,4,2,0,3.8374666666666677,1
285,14,0,1,3,1,0,7.774285714285714,0
286,136,6,1,17,11,0,11.410024509803918,1
287,44,7,1,7,4,0,3.7799242424242436,1
288,56,4,2,14,3,0,4.6080357142857125,1
289,11,1,0,2,3,0,2.91,1
290,18,1,0,5,1,0,8.765,1
291,216,10,12,52,7,1,2.629052287581697,1
292,126,10,4,24,15,0,9.405238095238094,0
293,26,2,0,6,4,0,4.641794871794872,1
294,67,3,4,18,7,0,6.066194029850745,0
295,31,0,1,6,1,0,6.8308602150537645,1
296,116,5,1,17,17,0,7.441662561576351,0
297,90,2,4,15,8,0,10.491666666666667,0
298,12,0,2,3,0,0,0.6624999999999979,1
299,81,2,5,15,7,0,7.079999999999998,1
300,14,0,0,2,2,0,1.9192857142857136,0
301,22,2,0,3,3,0,10.55090909090909,1
302,54,2,1,11,4,0,6.078888888888891,1
303,85,8,4,18,5,1,3.9247226890756295,0
304,22,1,1,2,2,0,3.914090909090909,1
305,47,4,3,8,6,0,5.944822695035462,1
306,31,0,1,5,3,0,5.615376344086023,1
307,47,3,1,10,1,0,3.98648936170213,1
308,30,0,4,7,3,0,-0.8460000000000001,1
309,28,2,0,7,6,1,3.5742857142857147,1
310,51,4,4,14,1,0,8.220588235294116,0
311,58,3,4,13,5,0,8.233103448275862,0
312,24,1,0,4,3,0,9.017500000000002,1
313,39,3,3,8,3,0,8.005384615384617,0
314,116,3,7,26,6,0,6.33125478927203,0
315,78,7,3,15,9,1,6.193846153846156,1
316,105,7,2,20,7,0,2.570476190476189,1
317,40,2,1,8,5,0,5.607416666666669,1
318,38,1,0,5,3,0,1.912105263157894,1
319,22,1,1,5,1,0,4.984545454545454,1
320,56,0,4,13,8,0,10.528154761904766,0
321,32,2,3,6,3,0,7.323437500000001,1
322,13,0,0,1,2,0,6.094615384615384,1
323,31,3,1,8,4,0,2.880537634408604,1
324,178,13,1,23,12,0,8.780686641697876,1
325,121,8,2,21,7,0,11.573057851239668,1
326,23,2,1,3,2,0,3.364782608695652,1
327,151,11,2,25,10,1,7.4089569536423845,1
328,13,0,1,3,1,0,-1.8725641025641018,0
329,237,11,5,50,15,1,7.407663981588033,0
330,13,1,0,2,2,0,9.344615384615384,1
331,14,1,0,3,2,0,5.755714285714287,1
332,7,0,0,1,2,0,3.6014285714285705,0
333,114,3,2,20,19,0,7.9491729323308284,0
334,40,2,3,10,4,0,0.8212499999999991,0
335,63,5,3,12,8,0,3.111904761904764,0
336,10,1,2,2,2,0,-2.9160000000000004,1
337,125,10,6,29,11,0,6.884666666666668,0
338,189,3,1,41,13,1,8.782222222222224,0
339,118,4,4,24,15,1,8.281129943502826,0
340,23,0,1,7,2,0,7.460434782608697,1
341,204,15,8,45,17,1,6.917352941176471,1
