id,asin,parent_asin,product,price,average_rating,rating_number,title,rating,helpful_vote,verified_purchase,word_count,first_person_pronoun_count,third_person_pronoun_count,verb_count,adjective_count,superlative_count,readability_ari,extremity
0,B09P128W6P,B0BTYGHF7T,"Teamgee Portable Monitor for Laptop, 13.3” Full HD IPS Display, Dual Triple Monitor Screen Extender, USB-A/Type-C Plug and Play for Windows, Android & Mac, Work with 13”-17” Laptops",599.99,4.1,498,Helpful Device,4,2.0,True,63,4,0,14,6,0,7.677380952380954,0
1,B01DHTWWTM,B01DHTWWTM,"Acer Gaming 3D Monitor 27” GN276HL bid 1920 x 1080 144Hz Refresh Rate 1ms Response Time (VGA, DVI & HDMI Ports)",,4.4,253,one of the best gaming monitor under 200$,5,0.0,True,19,0,1,3,2,0,7.405789473684212,1
2,B008RM23ZI,B00BH5W848,"ViewSonic VX2370SMH-LED 23"" IPS 1080p Frameless LED Monitor HDMI, DVI, VGA",,4.3,1415,Controls are truly awful and will not attach to standrard mounts,3,5.0,True,171,7,5,36,18,0,8.232105263157894,0
3,B07MTMCNLX,B08JL29CWX,"Sceptre 24-Inch FHD 1080p Curved 165Hz Gaming LED Monitor Edge-Less AMD FreeSync DisplayPort HDMI, Black (C248B-144RN)",,4.7,8532,Best bang for the buck!,5,0.0,True,96,2,1,22,6,0,9.459062499999998,1
4,B0002ILKNQ,B0002ILKNQ,Apple Cinema 23-inch HD Flat-Panel Display,,3.3,62,Great Monitor,5,2.0,False,112,2,4,20,11,0,4.232500000000002,1
5,B08HQT1X1Z,B08HQT1X1Z,WIMAXIT Portable Monitor 15.6inch USB C HDMI Monitor for Laptop/PC/Mac Display Gaming Screen for Nintendo Xbox PS4 PS3 Full HD 1080P Include Smart Cover,,4.0,38,Decent Monitor for HDMI or USB 3.1 Connections,4,0.0,False,612,35,8,106,25,0,3.3333869129047002,0
6,B0863NZF2R,B0863NZF2R,"Portable Monitor -Lepow Z1-Gamut 15.6'' FHD Laptop Display [Improved Color Gamut] IPS 1080P Ultra-Slim Type-C & HDMI Second Screen, Dual Speakers, Ideal for Laptops PCs Phones Switch PS4/3 Xbox",,4.3,2292,Great plug-n-play monitor!,5,0.0,True,96,3,3,20,12,0,5.052142857142858,1
7,B07W6THQQZ,B07W6THQQZ,Lepow Portable Monitor Upgraded 15.6 Inch 1920 x 1080 Full HD IPS Eye Care Second Screen Ultra-Slim Computer Game Display with Mini HDMI Type-C Port Speakers for Laptop PC MAC PS4 Xbox Phone,,4.4,1464,Switch Solution,4,0.0,True,115,4,6,21,8,0,12.153608695652174,0
8,B009H0XQRS,B019G58J2A,Dell S2240M 21.5-Inch Screen LED-lit Monitor,,4.6,715,Excellent monitor!,5,0.0,True,40,2,3,9,4,0,2.998750000000001,1
9,B01C83BE06,B01C83BE06,"ASUS MB169C+ 15.6"" Full HD 1920x1080 IPS USB Type-C Powered Eye Care Portable Monitor",,3.6,127,"Looks great, not working correctly.",3,0.0,True,41,3,1,10,2,0,2.075487804878051,0
10,B084R2XYM9,B0BGSX87Q2,"Lenovo G34w-10 34-Inch WQHD Curved Gaming Monitor, 21:9 Ultra-Wide, 3 Side NearEdgeless, AMD FreeSync, 144Hz, HDMI, DP, Adjustable Stand, VESA",,4.2,554,"Great monitor but screen was cracked on arrival, waiting for refund",5,0.0,True,57,4,0,14,3,0,10.833684210526314,1
11,B00DZT9752,B00DZT9752,"Gateway 23"" LED Widescreen Monitor | FHX2303L ABD",,3.6,6,Very good,5,,False,36,3,2,5,6,1,2.4333333333333336,1
12,B004TK9ZFI,B004TK9ZFI,Dell ST2220T 22-Inch Screen LED-lit Monitor,,3.0,18,"Awesome monitor, very responsive, works with Windows 8 RTM",5,7.0,False,351,11,12,65,30,1,7.347863247863248,1
13,B014X4U076,B0B9HZ3NYK,"ASUS TUF Gaming 27"" 2K HDR Gaming Monitor (VG27AQ) - QHD (2560 x 1440), 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, G-SYNC Compatible, VESA Mountable, DisplayPort, HDMI ,Black",300.0,4.6,7400,Good specs. Horrible qc,1,1.0,True,16,1,0,1,3,0,3.470625000000002,1
14,B07V1SQ966,B0BNX9QVXZ,"Lepow Portable Monitor - 2023 C2 15.6 inch FHD 1080P Portable Display with IPS Screen, Foldable Kickstand, Dual Speakers, Type-C HDMI Mini DP Port for Laptop PC Phone Xbox Switch PS5, Iron Gray",149.99,4.3,1811,Great product!,5,0.0,True,7,0,0,0,1,0,3.6014285714285705,1
15,B09M5S1YW6,B0BMQH6PL4,"LG 27MP400-B 27” Full HD (1920 x 1080) IPS Display with 3-Side Virtually Borderless Design, AMD FreeSync and OnScreen Control – Black",146.99,4.6,1094,good value,5,0.0,True,14,0,2,2,2,0,2.0983333333333327,1
16,B07MTRQ6B3,B08HTMG8SP,"Sceptre Curved 27"" FHD 1080p Gaming Monitor R1500 98% sRGB HDMI VGA 75Hz Build-in Speakers, Blue Light Shift Machine Black (C278W-1920RN series)",160.8,4.6,13819,"Fabulous monitor - great color, easy set up, works great with a wall-mount",5,0.0,False,55,4,4,10,7,0,5.3982727272727296,1
17,B0BZ4GXCC7,B0C699QSQS,"HONGO 2K 16"" Portable Monitor, 2560x1600 120Hz Portable Gaming Monitor QHD Portable Laptop Monitor with VESA, HDR Laptop External Monitor IPS Second Screen, Travel Monitor for PC Phone Switch Xbox PS5",199.99,4.3,1243,Random brightness changes,3,,True,39,2,3,7,1,0,5.8315384615384644,0
18,B07NFJ6M3R,B0BDWLB7GJ,"Acer EI272UR Pbmiiipx 27"" 1500R Curved WQHD (2560 x 1440) VA Gaming Monitor with AMD Radeon FreeSync2 HDR Technology, 144Hz,VESA Certified DisplayHDR400, DCI-P3 (Display Port & 3 x HDMI Ports),Black",339.99,4.5,447,Not a true 144hz monitor..... Great price tho,5,10.0,True,272,17,7,52,15,1,1.9987272408963577,1
19,B087QRW81Z,B099FBCSK4,Sceptre IPS 24-Inch Computer LED Monitor 1920x1080 1080p HDMI VGA up to 75Hz 300 Lux Build-in Speakers 2021 Black (E249W-FPT),94.97,4.6,4216,Its good,5,0.0,True,17,1,0,3,2,0,-0.002352941176472001,1
20,B00VBNQJKU,B00VBNQJKU,LG Electronics UM67 29UM67 29-Inch Screen LED-lit Monitor,,4.0,157,wonderful monitor so far,5,0.0,True,20,0,1,2,3,0,6.177999999999997,1
21,B09HH6FM82,B0BTYGHF7T,"Teamgee Portable Monitor for Laptop, 13.3” Full HD IPS Display, Dual Triple Monitor Screen Extender, USB-A/Type-C Plug and Play for Windows, Android & Mac, Work with 13”-17” Laptops",599.99,4.1,498,Best Purchase,5,0.0,True,20,2,1,3,2,1,0.5078333333333305,1
22,B07598SX6S,B08BJYZDG5,"Acer KG271 bmiix 27"" Full HD (1920 x 1080) TN Monitor with AMD FREESYNC Technology (2 x HDMI & VGA Port),Black",216.26,4.5,2106,Mind the warranty,1,0.0,False,81,0,2,18,1,0,6.7209259259259255,1
23,B00CMKOVPQ,B00CMKOVPQ,"AOC e2752She 27-Inch Class LED Backlit Monitor with 2 MS Response Time, VGA and 2 HDMI Ports, Earphone Audio port, 1920 x 1080 Resolution Display",,4.2,672,Great Second Screen,5,0.0,True,19,1,1,4,3,0,2.8077192982456154,1
24,B07KXSR99Y,B09NYDJJRM,"Sceptre 24"" Curved 75Hz Gaming LED Monitor Full HD 1080P HDMI VGA Speakers, VESA Wall Mount Ready Metal Black 2019 (C248W-1920RN)",102.97,4.6,18100,It's awesome,5,0.0,True,7,1,1,1,1,0,4.947142857142854,1
25,B073X6G4DZ,B073X6G4DZ,"Sceptre 27"" IPS Ultra 4K LED Monitor, UHD 3840x2160, HDMI DVI DisplayPort Speakers, Metallic Black",,3.8,409,It breaks often. Not reliable.,2,0.0,False,171,11,9,36,8,0,6.463070175438599,0
26,B07HQYQ63F,B097QFQ8X3,"ASUS VP348QGL 34” Ultra-Wide Freesync HDR Gaming Monitor 75Hz 1440P Eye Care DisplayPort HDMI,Black",416.05,4.6,4368,Disappointed,2,0.0,True,30,1,1,8,3,0,6.492000000000001,0
27,B00F36Y9XU,B00F36Y9XU,HP Pavilion 23TM 23-inch Touchscreen LED Monitor,,3.7,91,Much better touch experience than other monitors.,5,1.0,True,88,6,5,17,6,0,7.280454545454546,1
28,B0755KJ56W,B0755KJ56W,LG 32MA70HY-P 32-Inch Full HD IPS Monitor with Display Port and HDMI Inputs,,4.5,1276,great picture!,5,1.0,True,7,0,0,0,1,0,6.2928571428571445,1
29,B01L73OEOG,B01L73OEOG,"HP 24ea IPS Display- 23.8 inch, White",,4.7,2058,Nice monitor,5,0.0,True,4,0,0,0,1,0,8.829999999999998,1
30,B00DZT96C6,B00DZT96C6,Acer G206HQL bd 19.5-Inch LED Computer Monitor Back-Lit Widescreen Display,,4.4,956,Five Stars,5,0.0,True,4,0,0,2,1,0,7.6525,1
31,B07CVL2D2S,B0C2WWCBSG,"Acer SB242Y EBI 23.8"" Full HD (1920 x 1080) IPS Zero-Frame Gaming Office Monitor | AMD FreeSync Technology | Ultra-Thin Stylish Design | 100Hz | 1ms (VRB) | Low Blue Light | Tilt | HDMI & VGA Ports",99.99,4.6,40868,"So far... so good, and a good price as well.",5,0.0,True,50,3,1,5,5,0,10.757799999999996,1
32,B00CMKOVMO,B0BXXS51NG,"AOC I1601FWUX 15.6"" USB-C powered portable monitor, extremely slim, Full HD 1920x1080 IPS, SmartCover, AutoPivot (for devices w/ USB-C DP Alt Mode only)",129.99,4.3,8884,I am satisfied,5,0.0,True,6,0,1,1,1,0,0.41000000000000014,1
33,B08C8L6SB9,B0BYKKW1GF,"AOC CU34G3S 34"" Frameless Curved Ultrawide Gaming Monitor, WQHD 3440 x1440, 165Hz 1ms, FreeSync Premium, Height Adjustable, 3-Year Zero-Bright-dot, Black",429.99,4.6,5512,Really Nice!!!,5,0.0,True,34,1,0,6,5,0,3.4608823529411765,1
34,B09NLKWDMP,B0BWY33YYH,"Teamgee Laptop Screen Extender, 12” Portable Monitor for Laptop FHD 1080P Glare-Free IPS Dual Screen, Works with Mac Windows Android Chrome Linux, Fits 13”~16.5” Laptops, Built-in Speakers & HDR",259.99,4.3,1076,Perfect for being mobile,5,0.0,True,32,5,1,8,1,0,4.803958333333334,1
35,B06Y3ZXGMQ,B06Y3ZXGMQ,"Viotek HA238 Ultra-Thin 24 Inch Computer Monitor – 1920x1080 Full HD with Bezel-Less Frame, 16:9 Widescreen Display, HDMI & VGA Connection",,4.3,302,"Ordered 3, two of them didn't work",1,0.0,True,8,0,1,3,0,0,-2.1225000000000023,1
36,B0018RSCTA,B0018RSCTA,"Lenovo 19"" Black ThinkVision L197 Widescreen LCD Monitor for PC",,4.8,20,just right,5,0.0,True,8,1,0,1,1,0,3.1762499999999996,1
37,B079K3MXWF,B09SJ9192T,"SAMSUNG 23.5” CF396 Curved Computer Monitor, AMD FreeSync for Advanced Gaming, 4ms Response Time, Wide Viewing Angle, Ultra Slim Design, LC24F396FHNXZA, Black",158.0,4.7,24081,Use for VST synths,5,0.0,True,10,1,0,0,3,0,0.8520000000000003,1
38,B00RVGYHFK,B07FFCTZLC,"ViewSonic VA2465SMH 24"" 1080p LED Monitor HDMI, VGA",,4.3,779,Great Resolution,5,0.0,True,12,0,0,3,0,0,2.942499999999999,1
39,B00J4LI0XK,B00J4LI0XK,"AOC M2870VHE 28-Inch Class MVA LED-Lit Monitor, 16:9 Aspect Ratio, Full HD 1920 x1080 Resolution, 5ms, 20M:1 DCR, 300cd/m2 Brightness, VGA / Dual Link DVI / HDMI , VESA",,4.2,48,Five Stars,5,0.0,True,3,0,0,0,1,0,5.190000000000001,1
40,B007HSKSMI,B007HSKSMI,BenQ 24-Inch Gaming Monitor - LED 1080p HD Monitor - 1ms Response Time for Ultra Fast Console Gaming (RL2455HM) (Discontinued by Manufacturer),,4.7,2359,Using it for my Gaming PC,5,0.0,True,32,0,1,8,4,1,13.998750000000001,1
41,B09NLKWDMP,B0BWY33YYH,"Teamgee Laptop Screen Extender, 12” Portable Monitor for Laptop FHD 1080P Glare-Free IPS Dual Screen, Works with Mac Windows Android Chrome Linux, Fits 13”~16.5” Laptops, Built-in Speakers & HDR",259.99,4.3,1076,Good for it's price,5,0.0,True,8,0,0,2,0,0,4.942499999999999,1
42,B00B2HH7G0,B0B9J2JWSX,"ASUS TUF Gaming 23.8” 1080P Monitor (VG249Q1R) - Full HD, IPS, 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, FreeSync™ Premium, Shadow Boost, VESA Mountable, DisplayPort, HDMI",159.99,4.7,6137,Displayport stopped working after 3 years,3,0.0,True,43,0,3,9,4,0,8.410387596899227,0
43,B0BLCTN2CN,B0BBT7G39D,"SVANTTO Portable Monitor [2023 Latest] FHD 15.6'' Portable Screen for Laptop 400Nits Brightness Travel Monitor, 100% sRGB 1080P Laptop Monitor Extender, Mac Xbox PS5 Computer Display with HDMI Cable",64.84,4.3,333,Big!,5,0.0,False,57,4,6,11,4,0,0.5724812030075199,1
44,B00RPJOQQ8,B07FFCTZLC,"ViewSonic VA2465SMH 24"" 1080p LED Monitor HDMI, VGA",,4.3,779,"Great deal, easy on the eyes.",5,0.0,True,85,4,6,15,7,0,3.385098039215684,1
45,B07VFF4TZG,B0C5M41P1D,"ZSCMALLS Portable Monitor 15.6 Inch 1080P FHD USB-C Laptop Monitor HDMI Computer Display HDR IPS Gaming Monitor Smart Cover, Speakers, for Laptop PC MAC Phone PS4/5 Xbox Switch",79.99,4.3,552,Excellent,5,0.0,True,25,1,4,6,3,0,3.0947999999999993,1
