id,asin,parent_asin,product,price,average_rating,rating_number,rating,title,helpful_vote,verified_purchase,readability_ari,extremity,subjectivity,experiential_detail,positive_affect,negative_affect,uncertainty,category_specificity,internal_consistency,word_count,adjective_ratio,verb_ratio,superlative_ratio,first_person_pronoun_ratio,third_person_pronoun_ratio
0,B09P128W6P,B0BTYGHF7T,"Teamgee Portable Monitor for Laptop, 13.3” Full HD IPS Display, Dual Triple Monitor Screen Extender, USB-A/Type-C Plug and Play for Windows, Android & Mac, Work with 13”-17” Laptops",599.99,4.1,498,4,Helpful Device,2.0,True,7.677380952380954,0,0.25,0.25,0.25,0.25,0.0,0.5,1.0,63,0.09523809523809523,0.2222222222222222,0.0,0.06349206349206349,0.0
1,B01DHTWWTM,B01DHTWWTM,"Acer Gaming 3D Monitor 27” GN276HL bid 1920 x 1080 144Hz Refresh Rate 1ms Response Time (VGA, DVI & HDMI Ports)",,4.4,253,5,one of the best gaming monitor under 200$,0.0,True,7.405789473684212,1,1.0,0.0,1.0,0.0,0.0,1.0,0.75,19,0.10526315789473684,0.15789473684210525,0.0,0.0,0.05263157894736842
2,B008RM23ZI,B00BH5W848,"ViewSonic VX2370SMH-LED 23"" IPS 1080p Frameless LED Monitor HDMI, DVI, VGA",,4.3,1415,3,Controls are truly awful and will not attach to standrard mounts,5.0,True,8.232105263157894,0,0.375,0.375,0.125,0.375,0.0,0.625,1.0,171,0.10526315789473684,0.21052631578947367,0.0,0.04093567251461988,0.029239766081871343
3,B07MTMCNLX,B08JL29CWX,"Sceptre 24-Inch FHD 1080p Curved 165Hz Gaming LED Monitor Edge-Less AMD FreeSync DisplayPort HDMI, Black (C248B-144RN)",,4.7,8532,5,Best bang for the buck!,0.0,True,9.459062499999998,1,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.5714285714285714,0.75,96,0.0625,0.22916666666666666,0.0,0.020833333333333332,0.010416666666666666
4,B0002ILKNQ,B0002ILKNQ,Apple Cinema 23-inch HD Flat-Panel Display,,3.3,62,5,Great Monitor,2.0,False,4.232500000000002,1,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,0.75,112,0.09821428571428571,0.17857142857142858,0.0,0.017857142857142856,0.03571428571428571
5,B08HQT1X1Z,B08HQT1X1Z,WIMAXIT Portable Monitor 15.6inch USB C HDMI Monitor for Laptop/PC/Mac Display Gaming Screen for Nintendo Xbox PS4 PS3 Full HD 1080P Include Smart Cover,,4.0,38,4,Decent Monitor for HDMI or USB 3.1 Connections,0.0,False,3.3333869129047,0,0.23076923076923078,0.46153846153846156,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.5384615384615384,1.0,612,0.04084967320261438,0.17320261437908496,0.0,0.05718954248366013,0.013071895424836602
6,B0863NZF2R,B0863NZF2R,"Portable Monitor -Lepow Z1-Gamut 15.6'' FHD Laptop Display [Improved Color Gamut] IPS 1080P Ultra-Slim Type-C & HDMI Second Screen, Dual Speakers, Ideal for Laptops PCs Phones Switch PS4/3 Xbox",,4.3,2292,5,Great plug-n-play monitor!,0.0,True,5.052142857142858,1,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.0,0.14285714285714285,0.5714285714285714,1.0,96,0.125,0.20833333333333334,0.0,0.03125,0.03125
7,B07W6THQQZ,B07W6THQQZ,Lepow Portable Monitor Upgraded 15.6 Inch 1920 x 1080 Full HD IPS Eye Care Second Screen Ultra-Slim Computer Game Display with Mini HDMI Type-C Port Speakers for Laptop PC MAC PS4 Xbox Phone,,4.4,1464,4,Switch Solution,0.0,True,12.153608695652174,0,0.5,0.1,0.5,0.1,0.1,0.5,1.0,115,0.06956521739130435,0.1826086956521739,0.0,0.034782608695652174,0.05217391304347826
8,B009H0XQRS,B019G58J2A,Dell S2240M 21.5-Inch Screen LED-lit Monitor,,4.6,715,5,Excellent monitor!,0.0,True,2.998750000000001,1,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,40,0.1,0.225,0.0,0.05,0.075
9,B01C83BE06,B01C83BE06,"ASUS MB169C+ 15.6"" Full HD 1920x1080 IPS USB Type-C Powered Eye Care Portable Monitor",,3.6,127,3,"Looks great, not working correctly.",0.0,True,2.075487804878051,0,0.25,0.25,0.25,0.25,0.0,0.75,1.0,41,0.04878048780487805,0.24390243902439024,0.0,0.07317073170731707,0.024390243902439025
10,B084R2XYM9,B0BGSX87Q2,"Lenovo G34w-10 34-Inch WQHD Curved Gaming Monitor, 21:9 Ultra-Wide, 3 Side NearEdgeless, AMD FreeSync, 144Hz, HDMI, DP, Adjustable Stand, VESA",,4.2,554,5,"Great monitor but screen was cracked on arrival, waiting for refund",0.0,True,10.833684210526314,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,57,0.05263157894736842,0.24561403508771928,0.0,0.07017543859649122,0.0
11,B00DZT9752,B00DZT9752,"Gateway 23"" LED Widescreen Monitor | FHX2303L ABD",,3.6,6,5,Very good,,False,2.4333333333333336,1,0.75,0.25,0.5,0.0,0.0,0.25,1.0,36,0.16666666666666666,0.1388888888888889,0.027777777777777776,0.08333333333333333,0.05555555555555555
12,B004TK9ZFI,B004TK9ZFI,Dell ST2220T 22-Inch Screen LED-lit Monitor,,3.0,18,5,"Awesome monitor, very responsive, works with Windows 8 RTM",7.0,False,7.347863247863248,1,0.2,0.3333333333333333,0.2,0.0,0.0,0.4666666666666667,1.0,351,0.08547008547008547,0.18518518518518517,0.002849002849002849,0.03133903133903134,0.03418803418803419
13,B014X4U076,B0B9HZ3NYK,"ASUS TUF Gaming 27"" 2K HDR Gaming Monitor (VG27AQ) - QHD (2560 x 1440), 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, G-SYNC Compatible, VESA Mountable, DisplayPort, HDMI ,Black",300.0,4.6,7400,1,Good specs. Horrible qc,1.0,True,3.470625000000002,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16,0.1875,0.0625,0.0,0.0625,0.0
14,B07V1SQ966,B0BNX9QVXZ,"Lepow Portable Monitor - 2023 C2 15.6 inch FHD 1080P Portable Display with IPS Screen, Foldable Kickstand, Dual Speakers, Type-C HDMI Mini DP Port for Laptop PC Phone Xbox Switch PS5, Iron Gray",149.99,4.3,1811,5,Great product!,0.0,True,3.6014285714285705,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7,0.14285714285714285,0.0,0.0,0.0,0.0
15,B09M5S1YW6,B0BMQH6PL4,"LG 27MP400-B 27” Full HD (1920 x 1080) IPS Display with 3-Side Virtually Borderless Design, AMD FreeSync and OnScreen Control – Black",146.99,4.6,1094,5,good value,0.0,True,2.0983333333333327,1,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,14,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285
16,B07MTRQ6B3,B08HTMG8SP,"Sceptre Curved 27"" FHD 1080p Gaming Monitor R1500 98% sRGB HDMI VGA 75Hz Build-in Speakers, Blue Light Shift Machine Black (C278W-1920RN series)",160.8,4.6,13819,5,"Fabulous monitor - great color, easy set up, works great with a wall-mount",0.0,False,5.3982727272727296,1,0.6,0.4,0.4,0.0,0.0,0.4,1.0,55,0.12727272727272726,0.18181818181818182,0.0,0.07272727272727272,0.07272727272727272
17,B0BZ4GXCC7,B0C699QSQS,"HONGO 2K 16"" Portable Monitor, 2560x1600 120Hz Portable Gaming Monitor QHD Portable Laptop Monitor with VESA, HDR Laptop External Monitor IPS Second Screen, Travel Monitor for PC Phone Switch Xbox PS5",199.99,4.3,1243,3,Random brightness changes,,True,5.831538461538464,0,0.5,0.5,0.0,0.5,0.5,0.5,0.75,39,0.02564102564102564,0.1794871794871795,0.0,0.05128205128205128,0.07692307692307693
18,B07NFJ6M3R,B0BDWLB7GJ,"Acer EI272UR Pbmiiipx 27"" 1500R Curved WQHD (2560 x 1440) VA Gaming Monitor with AMD Radeon FreeSync2 HDR Technology, 144Hz,VESA Certified DisplayHDR400, DCI-P3 (Display Port & 3 x HDMI Ports),Black",339.99,4.5,447,5,Not a true 144hz monitor..... Great price tho,10.0,True,1.9987272408963577,1,0.4,0.3,0.1,0.1,0.0,0.5,0.75,272,0.05514705882352941,0.19117647058823528,0.003676470588235294,0.0625,0.025735294117647058
19,B087QRW81Z,B099FBCSK4,Sceptre IPS 24-Inch Computer LED Monitor 1920x1080 1080p HDMI VGA up to 75Hz 300 Lux Build-in Speakers 2021 Black (E249W-FPT),94.97,4.6,4216,5,Its good,0.0,True,-0.002352941176472,1,1.0,0.0,1.0,0.0,0.0,0.0,0.75,17,0.11764705882352941,0.17647058823529413,0.0,0.058823529411764705,0.0
20,B00VBNQJKU,B00VBNQJKU,LG Electronics UM67 29UM67 29-Inch Screen LED-lit Monitor,,4.0,157,5,wonderful monitor so far,0.0,True,6.177999999999997,1,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.5,20,0.15,0.1,0.0,0.0,0.05
