id,rating,word_count,first_person_pronoun_count,third_person_pronoun_count,verb_count,adjective_count,superlative_count,readability_ari,extremity
0,5,5,0,0,0,2,0,5.561999999999998,1
1,5,39,0,0,7,5,0,5.963076923076926,1
2,5,88,3,4,19,13,1,10.54534090909091,1
3,4,38,2,1,11,4,0,7.213859649122806,0
4,5,130,9,2,20,18,0,6.98423076923077,1
5,1,66,3,4,18,7,0,2.5753030303030293,1
6,2,11,0,0,3,1,0,10.189090909090911,0
7,4,241,14,8,48,19,0,11.561088059013372,0
8,5,20,0,0,6,3,0,7.120000000000001,1
9,5,3,0,0,0,1,0,3.620000000000001,1
10,5,59,1,2,13,8,2,3.5494915254237327,1
11,1,46,3,1,12,2,0,6.919710144927535,1
12,5,17,1,0,2,2,1,5.91,1
13,5,94,3,3,17,11,0,12.274964539007094,1
14,4,310,6,5,59,25,1,8.23833179723502,0
15,5,10,1,0,1,1,0,0.9969999999999999,1
16,5,28,2,0,6,5,0,2.581309523809523,1
17,5,4,0,0,1,1,0,-0.5899999999999999,1
18,2,26,0,1,5,4,0,3.366538461538461,0
19,5,2,0,0,0,1,0,7.829999999999998,1
20,5,48,4,1,11,4,0,2.798750000000002,1
21,5,30,4,0,7,5,0,1.4740000000000002,1
22,4,338,5,13,70,27,1,8.641375739644971,0
23,5,14,1,1,2,2,0,1.5828571428571436,1
24,5,14,0,2,2,2,0,1.9192857142857136,1
25,2,2,0,0,0,1,0,14.895000000000003,0
26,2,20,0,0,1,3,0,3.8230000000000004,0
27,4,14,1,1,2,2,0,-1.1085714285714268,0
28,1,16,0,0,6,1,0,6.120000000000001,1
29,5,31,2,1,4,6,0,7.970161290322579,1
30,5,75,5,0,17,3,0,4.609500000000001,1
31,4,103,2,4,15,8,0,3.573131067961164,0
32,5,17,1,1,4,2,0,1.9056862745098044,1
33,5,3,0,0,1,1,0,11.470000000000006,1
34,3,70,4,0,15,2,0,16.121142857142857,0
35,5,17,3,0,2,5,0,0.2433333333333323,1
36,5,11,0,0,0,2,1,1.8727272727272712,1
37,5,13,0,0,3,2,0,4.283076923076923,1
38,3,38,1,1,8,4,0,1.636228070175438,0
39,5,63,2,0,7,4,1,28.610952380952376,1
40,1,30,2,2,11,2,1,5.864000000000001,1
41,5,17,2,2,4,1,0,4.524705882352944,1
42,5,19,0,0,3,1,0,8.149473684210527,1
43,4,26,1,0,5,4,0,1.5621794871794847,0
44,3,84,4,2,16,8,0,5.978214285714287,0
45,5,13,0,1,4,1,0,3.9207692307692312,1
46,3,263,4,6,54,12,0,7.777799429657794,0
47,4,89,6,1,21,8,0,5.833707865168542,0
48,1,21,1,0,2,3,0,2.0314285714285703,1
49,5,36,1,1,7,4,1,5.895833333333336,1
50,5,1,0,0,0,1,0,2.620000000000001,1
51,5,8,0,1,1,1,0,0.5874999999999986,1
52,3,9,0,0,2,1,0,5.189999999999998,0
53,5,71,4,1,11,6,0,6.035774647887322,1
54,5,53,1,3,10,4,0,3.509811320754718,1
55,2,109,14,4,22,5,0,5.021151885830783,0
56,3,6,0,0,1,1,0,-1.9450000000000003,0
57,5,10,1,0,1,3,0,0.48966666666666825,1
58,5,23,3,0,6,3,0,3.16,1
59,5,5,0,0,0,2,0,4.620000000000001,1
60,5,15,1,0,2,6,0,5.242000000000001,1
61,5,6,0,0,0,0,0,6.690000000000001,1
62,5,169,1,4,27,15,1,6.361656804733727,1
63,5,13,1,2,3,2,0,2.10923076923077,1
64,5,40,1,1,7,9,0,3.5294999999999987,1
65,3,56,2,6,16,3,0,2.244880952380953,0
66,5,23,2,0,5,3,0,3.291159420289855,1
67,4,330,23,12,68,27,1,4.210636363636365,0
68,5,13,1,1,3,0,0,7.533076923076923,1
69,2,53,1,1,9,4,0,7.056509433962265,0
70,3,170,9,13,37,15,0,7.0206797385620945,0
71,5,16,0,0,0,0,0,9.53125,1
72,5,30,0,0,7,2,0,3.8230000000000004,1
73,3,27,2,0,5,2,0,5.573333333333334,0
74,5,5,1,1,1,0,0,-0.08999999999999986,1
75,5,61,1,4,11,9,0,1.8756284153005431,1
76,2,16,1,1,5,0,0,3.470625000000002,0
