id,label,split,rating,word_count,first_person_pronoun_count,third_person_pronoun_count,verb_count,adjective_count,superlative_count,readability_ari,extremity
0,0,train,2.0,54,5,6,10,3,0,4.665555555555557,0
1,0,train,5.0,30,3,0,7,5,0,3.5150000000000006,1
2,1,train,5.0,54,5,1,14,4,0,7.300000000000001,1
3,0,train,5.0,40,2,3,8,2,0,4.17625,1
4,0,train,5.0,154,11,7,35,7,1,3.611363636363638,1
5,1,train,3.0,118,5,8,22,14,0,8.520621468926556,0
6,1,train,2.0,110,3,5,25,12,0,6.939727272727275,0
7,0,train,5.0,29,0,1,6,4,0,3.1463793103448303,1
8,0,train,5.0,67,6,5,14,4,0,4.519626865671643,1
9,1,train,5.0,28,0,1,5,7,0,5.419285714285714,1
10,0,train,4.0,45,1,1,8,4,1,6.061333333333334,0
11,0,train,5.0,148,13,3,37,5,1,5.9598648648648656,1
12,0,train,5.0,61,2,1,14,3,0,3.7287431693989035,1
13,0,train,5.0,73,8,0,18,3,0,1.880319634703195,1
14,0,train,5.0,14,1,0,0,2,0,2.255714285714287,1
15,1,train,5.0,66,2,1,11,10,0,8.157727272727271,1
16,0,train,5.0,31,0,1,8,2,1,-0.08241935483870932,1
17,0,train,5.0,40,5,0,6,2,0,0.17275000000000063,1
18,0,train,5.0,65,6,4,10,4,0,6.156307692307692,1
19,0,train,1.0,24,0,1,7,0,0,2.036249999999999,1
20,1,train,5.0,43,5,0,7,5,0,11.117441860465114,1
21,0,train,5.0,28,0,2,7,3,0,4.578214285714285,1
22,1,train,3.0,38,1,1,7,5,0,5.2307017543859615,0
23,0,train,5.0,120,11,9,27,13,0,7.606249999999999,1
24,0,train,5.0,76,1,5,14,10,1,4.115175438596488,1
25,1,train,5.0,55,4,2,10,9,0,6.1690000000000005,1
26,1,train,5.0,59,3,3,12,6,0,4.507457627118647,1
27,1,train,5.0,17,1,0,3,2,0,7.755294117647058,1
28,1,train,5.0,18,0,0,2,3,0,7.456666666666667,1
29,1,train,5.0,47,1,1,10,3,0,8.14950354609929,1
30,0,train,5.0,221,6,4,34,31,0,7.668513251454428,1
31,1,train,1.0,25,1,1,2,3,0,3.6490666666666662,1
32,0,train,3.0,23,0,1,4,1,0,0.08826086956521806,0
33,0,train,3.0,347,16,12,69,42,3,5.537369571698299,0
34,0,train,5.0,60,5,0,11,7,0,6.244500000000002,1
35,0,train,3.0,20,0,0,6,1,0,11.594500000000004,0
36,1,train,5.0,27,1,0,3,5,0,9.567777777777774,1
37,1,train,3.0,92,6,4,19,10,0,7.582717391304346,0
38,0,train,5.0,20,3,2,5,3,0,-5.271000000000001,1
39,1,train,5.0,32,1,0,6,5,0,5.8515625,1
40,1,train,4.0,17,1,0,3,3,0,4.801764705882352,0
41,1,train,3.0,120,4,7,25,11,0,3.8895000000000017,0
42,0,train,5.0,21,3,1,4,2,0,8.35857142857143,1
43,0,train,5.0,27,4,1,8,1,0,2.0666666666666664,1
44,1,train,5.0,50,3,1,7,6,0,6.366399999999999,1
45,1,train,4.0,43,1,3,6,7,0,7.862713178294573,0
46,0,train,5.0,237,10,2,41,29,1,6.358270042194089,1
47,1,train,1.0,24,1,0,5,3,0,1.9987500000000011,1
48,0,train,5.0,97,4,3,27,6,0,5.944639175257731,1
49,1,train,4.0,10,0,1,3,0,0,1.939,0
50,0,train,5.0,84,5,2,17,10,0,11.722857142857144,1
51,1,train,5.0,15,0,1,1,3,0,4.282,1
52,0,train,5.0,72,5,4,14,10,0,3.890416666666667,1
53,0,train,1.0,180,15,10,40,14,0,3.7312435897435883,1
54,1,train,5.0,28,2,2,7,1,0,4.07357142857143,1
55,1,train,5.0,95,2,3,16,13,0,7.071293233082706,1
56,1,train,5.0,82,2,2,13,5,0,5.966504065040649,1
57,0,train,5.0,76,5,8,16,5,0,1.7850187969924818,1
58,1,train,5.0,33,3,0,6,5,0,5.764545454545452,1
59,0,train,5.0,67,3,3,9,4,0,5.234776119402987,1
60,1,train,5.0,18,0,2,5,2,0,4.788333333333334,1
61,0,train,2.0,149,2,8,30,12,0,2.761440371708826,0
62,0,train,5.0,26,1,1,6,4,0,9.141923076923078,1
63,1,train,5.0,44,4,1,7,7,0,5.920833333333331,1
64,1,train,5.0,43,3,1,8,2,0,6.947325581395351,1
65,0,train,5.0,34,3,1,7,2,0,5.078823529411764,1
66,0,train,4.0,10,1,0,3,1,0,-0.8870000000000005,0
67,0,train,4.0,47,5,3,12,3,0,7.957446808510639,0
68,1,train,5.0,109,4,3,19,13,0,9.08599388379205,1
69,0,train,5.0,156,8,8,35,6,1,5.572307692307692,1
70,1,train,1.0,113,5,5,19,10,0,6.014712389380531,1
71,1,train,5.0,120,6,2,28,13,0,7.943928571428572,1
72,0,train,2.0,154,3,6,33,10,0,6.487510822510824,0
73,0,train,1.0,45,3,3,9,2,0,4.491333333333333,1
74,1,train,5.0,13,0,0,1,1,0,3.185384615384617,1
75,1,train,2.0,49,3,1,9,7,0,6.441768707482993,0
76,0,train,5.0,15,0,0,3,3,0,12.131999999999998,1
77,1,train,4.0,93,6,3,22,10,0,5.818387096774192,0
78,0,train,5.0,21,1,0,5,2,0,2.928571428571427,1
79,0,train,1.0,29,0,0,6,3,0,4.029885057471262,1
80,1,train,5.0,23,2,0,5,3,0,1.3089130434782597,1
81,0,train,5.0,12,0,0,3,3,0,6.942499999999999,1
82,0,train,5.0,62,5,2,12,6,0,8.199139784946233,1
83,0,train,1.0,50,1,1,13,6,0,1.765066666666666,1
84,1,train,4.0,34,2,1,9,3,0,4.386176470588236,0
85,0,train,3.0,42,0,1,10,1,0,1.5385714285714265,0
86,0,train,4.0,239,15,5,48,30,1,11.436648070664809,0
87,1,train,4.0,28,2,1,5,3,0,5.251071428571432,0
88,1,train,4.0,118,8,3,19,21,1,7.275520581113803,0
89,0,train,4.0,40,4,2,8,2,0,5.2905000000000015,0
90,1,train,5.0,9,0,0,2,2,0,10.806666666666665,1
91,0,train,5.0,27,2,0,4,4,0,4.797222222222221,1
92,1,train,5.0,42,3,2,9,5,0,6.765000000000001,1
93,1,train,4.0,86,2,2,16,12,0,9.748255813953488,0
94,0,train,4.0,12,0,0,0,3,0,8.120000000000001,0
95,0,train,5.0,43,0,3,8,9,0,7.61232558139535,1
96,1,train,5.0,15,1,0,2,4,0,8.05,1
97,0,train,1.0,120,9,5,30,7,0,3.928750000000001,1
98,0,train,2.0,196,8,6,36,14,0,9.226794990723562,0
99,1,train,5.0,41,3,1,7,9,0,6.540894308943088,1
100,0,train,5.0,134,9,4,27,8,0,2.9500746268656712,1
101,0,train,4.0,25,2,5,6,0,0,2.906399999999998,0
102,0,train,4.0,221,3,7,43,17,0,10.689451985922581,0
103,1,train,5.0,56,3,3,12,7,0,2.4212500000000006,1
104,0,train,3.0,70,1,5,15,3,0,0.7092857142857127,0
